nombre_curso,nivel_del_curso,horas_dedicadas,duracion_del_curso(Semanas),lenguaje,precio(USD),organizacion,cant_estudiantes
Machine Learning,Avanzado,8–10 hours per week,12,Ingles,249.0,Columbia University,150855
Introducción a la gestión de proyectos,Principiante,4–5 hours per week,5,Español,50.0,Universitat Politècnica de Valencia,98517
Free Cash Flow Analysis,Principiante,3–4 hours per week,5,Ingles,225.0,Columbia University,36085
Lean Production,Principiante,3–4 hours per week,6,Ingles,99.0,Technische Universität München,55926
Introduction to Algebra,Principiante,4–6 hours per week,4,Ingles,139.0,SchoolYourself,131197
"LaTeX for Students, Engineers, and Scientists",Principiante,3–4 hours per week,7,Ingles,139.0,IITBombay,11823
Leading With Effective Communication (Inclusive Leadership Training),Principiante,1–2 hours per week,4,Ingles,50.0,Catalyst,107770
Anatomy: Musculoskeletal and Integumentary Systems,Principiante,2–3 hours per week,4,Ingles,49.0,The University of Michigan,51969
"Inglés empresarial: ventas, gestión y liderazgo",Principiante,5–8 hours per week,4,Ingles,49.0,Universidades Anáhuac,10897
Business Strategy from Wharton: Competitive Advantage,Intermedio,3–4 hours per week,6,Ingles,199.0,The Wharton School of the University of Pennsylvania,26675
Inteligencia emocional para el liderazgo efectivo y colaboración,Principiante,4–5 hours per week,4,Español,49.0,Universidades Anáhuac,14726
Introducción al desarrollo de aplicaciones web,Principiante,4–5 hours per week,5,Español,49.0,Universidad Autónoma de Madrid,27757
"Six Sigma: Analyze, Improve, Control",Principiante,3–4 hours per week,8,Ingles,99.0,Technische Universität München,56016
Introducción a la inteligencia emocional,Principiante,3–5 hours per week,4,Español,49.0,Universidades Anáhuac,18830
AP® Microeconomics,Principiante,3–4 hours per week,12,Ingles,49.0,Massachusetts Institute of Technology,53664
Engineering Calculus and Differential Equations,Principiante,3–6 hours per week,6,Ingles,50.0,University of Hong Kong,21535
Linear Algebra - Foundations to Frontiers,Intermedio,6–10 hours per week,15,Ingles,49.0,The University of Texas at Austin,88570
Habilidades de negociación y comunicación efectiva,Principiante,5–8 hours per week,4,Español,149.0,Tecnológico de Monterrey,19614
Effective Communication for Today's Leader,Intermedio,5–8 hours per week,4,Ingles,149.0,Tecnológico de Monterrey,8862
Electric Cars: Technology,Intermedio,4–5 hours per week,4,Ingles,50.0,Delft University of Technology,40972
Site Planning Online,Intermedio,4–6 hours per week,10,Ingles,99.0,Massachusetts Institute of Technology,12948
Macroeconometric Forecasting,Intermedio,8–10 hours per week,9,Ingles,25.0,The International Monetary Fund,69358
Administración pública y fiscal: cómo se gestiona un gobierno,Principiante,3–4 hours per week,10,Español,25.0,Inter-American Development Bank,49189
Fundamentals of Red Hat Enterprise Linux,Principiante,1–3 hours per week,9,Ingles,99.0,Red Hat,53788
Algorithms,Intermedio,6–8 hours per week,6,Ingles,149.0,IITBombay,61722
Calculus Applied!,Intermedio,3–6 hours per week,10,Ingles,99.0,Harvard University,54976
Precalculus,Intermedio,9–10 hours per week,15,Ingles,49.0,Arizona State University,55576
Fundamentos de anatomía y técnica quirúrgica básica,Principiante,4–6 hours per week,4,Español,49.0,Universidad del Rosario,12133
Business Communications,Principiante,3–5 hours per week,6,Ingles,150.0,University of British Columbia,60713
Italian Language and Culture: Intermediate (2019-2020),Intermedio,3–5 hours per week,12,Italiano,49.0,Wellesley College,35058
International Women's Health and Human Rights,Principiante,1–5 hours per week,10,Ingles,50.0,Stanford University,9796
Blockchain: Understanding Its Uses and Implications,Principiante,2–3 hours per week,14,Ingles,199.0,The Linux Foundation,66769
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",Intermedio,2–4 hours per week,7,Ingles,49.0,Imperial College London,22366
Blockchain Technology,Intermedio,3–5 hours per week,6,Ingles,99.0,"University of California, Berkeley",55376
Basics of Power BI,Principiante,1–5 hours per week,2,Ingles,49.0,Rolls-Royce,8314
Preparing to Network in English,Principiante,3–5 hours per week,6,Ingles,149.0,University of Washington,34337
Mandarin Chinese Essentials,Principiante,4–10 hours per week,5,Ingles,99.0,MandarinX,36665
Human Rights: The Rights of Refugees,Principiante,3–5 hours per week,3,Ingles,49.0,Amnesty International,84270
What do Architects and Urban Planners do?,Principiante,2–3 hours per week,3,Ingles,49.0,Wits University,11046
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",Principiante,2–4 hours per week,4,Ingles,49.0,Harvard University,22723
Negotiation Skills and Effective Communication,Intermedio,5–8 hours per week,4,Ingles,149.0,Tecnológico de Monterrey,8146
AP® English Literature & Composition – Part 1: Stories,Principiante,4–5 hours per week,7,Ingles,49.0,"University of California, Berkeley",15650
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",Principiante,2–3 hours per week,7,Ingles,149.0,IsraelX-Tel Aviv University,28710
Alianzas: un vehículo para lograr el desarrollo sostenible,Principiante,3–4 hours per week,10,Español,25.0,Inter-American Development Bank,17554
Designing and Creating Skirts,Principiante,3–5 hours per week,5,Ingles,99.0,The Hong Kong Polytechnic University,13954
Cómo Aprender Online,Principiante,2–3 hours per week,2,Español,49.0,edX,7958
Computing in Python II: Control Structures,Principiante,9–10 hours per week,5,Ingles,99.0,The Georgia Institute of Technology,31511
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,Principiante,3–4 hours per week,5,Español,49.0,Universidad Galileo,29614
Machine Learning Fundamentals,Avanzado,8–10 hours per week,10,Ingles,350.0,"The University of California, San Diego",82008
Pre-University Calculus,Principiante,6–8 hours per week,8,Ingles,50.0,Delft University of Technology,103224
Tsinghua Chinese: Start Talking with 1.3 Billion People,Principiante,2–3 hours per week,6,Ingles,49.0,Tsinghua University,58834
Deep Learning with Python and PyTorch,Intermedio,2–4 hours per week,6,Ingles,99.0,IBM,36195
Diseña presentaciones eficaces con Powerpoint,Principiante,4–10 hours per week,3,Español,50.0,Universitat Politècnica de Valencia,36663
World of Wine: From Grape to Glass,Principiante,2–3 hours per week,6,Ingles,199.0,University of Adelaide,81839
Sustainable Cities,Intermedio,4–6 hours per week,9,Ingles,49.0,SDG Academy,16619
Introduction to Developmental Psychology,Principiante,1–2 hours per week,8,Ingles,99.0,The University of Queensland,38060
Creativity & Entrepreneurship,Principiante,3–5 hours per week,4,Ingles,49.0,Berklee College of Music,69413
College Algebra and Problem Solving,Principiante,8–9 hours per week,15,Ingles,49.0,Arizona State University,103010
Academic writing for clarity and meaning,Principiante,2–3 hours per week,2,Ingles,49.0,Wits University,16220
Financial Development and Financial Inclusion,Intermedio,8–10 hours per week,7,Ingles,25.0,The International Monetary Fund,13853
Global Public Health,Intermedio,4–6 hours per week,10,Ingles,49.0,SDG Academy,17273
Embedded Systems - Shape The World: Microcontroller Input/Output,Intermedio,8–10 hours per week,8,Ingles,49.0,The University of Texas at Austin,69182
Introduction to Animal Behaviour,Principiante,4–6 hours per week,6,Ingles,49.0,Wageningen University & Research,42135
Circular Economy: An Introduction,Principiante,3–6 hours per week,7,Ingles,50.0,Delft University of Technology,50240
Public Financial Management,Intermedio,4–6 hours per week,8,Ingles,25.0,The International Monetary Fund,23288
Anatomy: Human Neuroanatomy,Principiante,3–4 hours per week,8,Ingles,49.0,The University of Michigan,49319
Android: Introducción a la Programación,Principiante,4–5 hours per week,10,Español,50.0,Universitat Politècnica de Valencia,85786
The Ancient Greek Hero,Principiante,8–12 hours per week,18,Ingles,99.0,Harvard University,51744
Agile Leadership Principles and Practices,Avanzado,2–3 hours per week,4,Ingles,199.0,"The University of Maryland, College Park-University System of Maryland",31838
How to Code: Simple Data,Principiante,2–3 hours per week,7,Ingles,125.0,University of British Columbia,98113
Cybersecurity and Privacy in the IoT,Principiante,4–6 hours per week,5,Ingles,199.0,Curtin University,21440
Strategic Management,Principiante,3–5 hours per week,5,Ingles,150.0,Indian Institute of Management Bangalore,71085
Introducción a la ciencia de datos y sus aplicaciones,Principiante,3–6 hours per week,6,Español,39.0,IBM,7303
"Biochemistry: Biomolecules, Methods, and Mechanisms",Intermedio,3–6 hours per week,12,Ingles,150.0,Massachusetts Institute of Technology,18692
Astronomía Virtual,Principiante,5–7 hours per week,7,Español,29.0,Universidad Nacional de Córdoba,10500
Nutrition and Cancer,Intermedio,6–8 hours per week,5,Ingles,99.0,Wageningen University & Research,27144
Build your very first iOS app,Principiante,8–10 hours per week,8,Ingles,149.0,Curtin University,31570
Object-Oriented Programming,Principiante,6–8 hours per week,4,Ingles,149.0,IITBombay,93633
Introduction to Jenkins,Principiante,2–3 hours per week,10,Ingles,199.0,The Linux Foundation,7233
Conducting an Informational Interview,Principiante,3–5 hours per week,8,Ingles,99.0,University of Washington,15594
Liderazgo y comportamiento organizacional,Principiante,5–8 hours per week,4,Español,149.0,Tecnológico de Monterrey,21419
Creative Coding,Principiante,8–10 hours per week,14,Ingles,249.0,New York University,18660
Análisis estadístico con Excel,Principiante,3–5 hours per week,4,Español,49.0,Universidad Galileo,22717
Introducción a la Ingeniería del Software,Principiante,4–5 hours per week,5,Español,49.0,Universidad Autónoma de Madrid,17931
Computer Graphics,Intermedio,6–12 hours per week,6,Ingles,99.0,"The University of California, San Diego",98553
Data Science: Computational Thinking with Python,Principiante,4–6 hours per week,5,Ingles,199.0,"University of California, Berkeley",78232
Comunicación efectiva para el líder actual,Principiante,5–8 hours per week,4,Español,149.0,Tecnológico de Monterrey,18470
Debate y argumentación,Principiante,4–6 hours per week,4,Español,49.0,Universidad del Rosario,10954
Deep Learning with Tensorflow,Intermedio,2–4 hours per week,5,Ingles,99.0,IBM,37564
Machine Learning (aprendizaje automático) con Python: una introducción práctica,Principiante,4–6 hours per week,5,Español,49.0,IBM,39155
Essential Human Biology: Cells and Tissues,Principiante,2–3 hours per week,5,Ingles,169.0,University of Adelaide,67961
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",Intermedio,2–3 hours per week,5,Ingles,49.0,Tsinghua University,35720
Computing in Python III: Data Structures,Principiante,9–10 hours per week,5,Ingles,99.0,The Georgia Institute of Technology,27239
Introduction to Internet of Things (IoT),Principiante,1–5 hours per week,2,Ingles,49.0,Rolls-Royce,6703
Nutrition and Health: Food Risks,Principiante,6–8 hours per week,8,Ingles,49.0,Wageningen University & Research,51493
Mechanics: Kinematics and Dynamics,Intermedio,10–12 hours per week,12,Ingles,49.0,Massachusetts Institute of Technology,35529
Storytelling for Social Change,Principiante,1–3 hours per week,5,Ingles,49.0,The University of Michigan,30313
Introduction to Data Analytics for Managers,Principiante,2–4 hours per week,6,Ingles,49.0,The University of Michigan,39113
Qualitative Research Methods: Conversational Interviewing,Intermedio,2–3 hours per week,3,Ingles,49.0,Massachusetts Institute of Technology,21972
International Project Management,Avanzado,8–12 hours per week,9,Ingles,150.0,Rochester Institute of Technology,45145
Software Development Fundamentals,Intermedio,6–8 hours per week,4,Ingles,149.0,University of Pennsylvania,51402
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",Principiante,3–5 hours per week,3,Ingles,49.0,Harvard University,17484
Critical Thinking & Problem Solving,Principiante,4–6 hours per week,3,Ingles,199.0,Rochester Institute of Technology,6558
Data Analysis Essentials,Principiante,4–6 hours per week,6,Ingles,79.0,Imperial College Business School-Imperial College London,42262
Master Control in Supply Chain Management and Logistics,Principiante,4–5 hours per week,7,Ingles,49.0,Chalmers University of Technology,31326
Work and Employment for a Sustainable Future,Intermedio,2–4 hours per week,6,Ingles,49.0,SDG Academy,6528
Foundations of Data Structures,Intermedio,6–8 hours per week,6,Ingles,149.0,IITBombay,54075
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",Intermedio,8–10 hours per week,6,Ingles,25.0,The International Monetary Fund,31024
IoT System Design: Software and Hardware Integration,Intermedio,4–6 hours per week,4,Ingles,99.0,Waseda University,13608
English for Doing Business in Asia – Writing,Principiante,3–4 hours per week,7,Ingles,60.0,The Hong Kong University of Science and Technology,44252
Working in Teams: A Practical Guide,Principiante,6–8 hours per week,4,Ingles,49.0,The University of Queensland,43981
Introducción a los encofrados y las cimbras en obra civil y edificación,Principiante,2–3 hours per week,4,Español,50.0,Universitat Politècnica de Valencia,16029
AI Chatbots without Programming,Principiante,2–4 hours per week,2,Ingles,99.0,IBM,35440
